addressLocality,addressRegion,latitude,longitude,postalCode,streetAddress,Store
Abbeville,AL,31.56763268,-85.2512107,36310-2417,214 Kirkland Street,Family Dollar
Albertville,AL,34.265782,-86.206143,35950-2329,315 Sand Mountain Dr Se,Family Dollar
Aliceville,AL,33.127951,-88.151062,35442-2155,35 Memorial Parkway East,Family Dollar
Anniston,AL,33.66706,-85.828,36201-3851,1722 Quintard Ave,Family Dollar
Athens,AL,34.798594,-86.971662,35611-3541,"515 S Jefferson Sreet, Suite B",Family Dollar
Atmore,AL,31.02144,-87.488465,36502-2626,500 E Church St,Family Dollar
Auburn,AL,32.61053281,-85.48999808,36832,316 N. Donahue Drive,Family Dollar
Bessemer,AL,33.43400228,-86.93786563,35020-2414,4341 Bessemer Super Highway,Family Dollar
Bessemer,AL,33.38772569,-86.96756229,35020-6229,430 4th Avenue N,Family Dollar
Bessemer,AL,33.39242,-86.95041,35020,330 14th Street S,Family Dollar
Bessemer,AL,33.40547,-86.95767,35020-4872,631 19th St N,Family Dollar
Birmingham,AL,33.55000047,-86.7394171,35206-5012,6629 1st Avenue N,Family Dollar
Birmingham,AL,33.56568212,-86.7839249,35217-3718,4300 Vanderbilt Road,Family Dollar
Birmingham,AL,33.587917,-86.69226,35235,332 Gadsden Hwy,Family Dollar
Birmingham,AL,33.480199,-86.844924,35211,925 Dennison Avenue Sw,Family Dollar
Birmingham,AL,33.496491,-86.87877,35208-4712,2224 Bessemer Rd,Family Dollar
Birmingham,AL,33.479819,-86.862074,35211-3360,1747 Jefferson Ave Sw,Family Dollar
Birmingham,AL,33.46328385,-86.90872681,35228-2233,30 Phillips Dr,Family Dollar
Birmingham,AL,33.642786,-86.70608,35215,2157 Carson Rd,Family Dollar
Birmingham,AL,33.5150991,-86.80747228,35203-3606,1910 2nd Ave N,Family Dollar
Birmingham,AL,33.55331,-86.819212,35207-4504,3120 26th Street N,Family Dollar
Birmingham,AL,33.48107,-86.893666,35208-4325,1355 Bessemer Rd,Family Dollar
Birmingham,AL,33.533272,-86.799885,35234-3219,3001 12th Ave N,Family Dollar
Birmingham,AL,33.511014,-86.895976,35218-2212,2003 Avenue F Ensley,Family Dollar
Birmingham,AL,33.539011,-86.752955,35212-2403,5401 1st Ave. N.,Family Dollar
Birmingham,AL,33.608904,-86.687794,35215-7402,608 Springville Rd,Family Dollar
Birmingham,AL,33.558151,-86.732806,35206-4213,7330 1st Ave N,Family Dollar
Birmingham,AL,33.541169,-86.870798,35214,1556 Bankhead Hwy W.,Family Dollar
Birmingham,AL,33.51178845,-86.83567854,35204,521 Center Street N,Family Dollar
Birmingham,AL,33.4927,-86.853621,35211-1943,1305 Tuscaloosa Avenue Sw,Family Dollar
Birmingham,AL,33.47011735,-86.88436198,35221-1100,3124 Alemeda Avenue Sw,Family Dollar
Birmingham,AL,33.49518452,-86.82659025,35205,200 6th Avenue S,Family Dollar
Boaz,AL,34.198315,-86.161174,35957-1949,10364 Al Hwy 168,Family Dollar
Brewton,AL,31.122283,-87.070025,36426-1586,"1023 Douglas Avenue, Suite 214",Family Dollar
Butler,AL,32.089014,-88.224438,36904-2430,302 West Pushmataha Street,Family Dollar
Calera,AL,33.104628,-86.753774,35040-1101,8154 Hwy 31,Family Dollar
Camden,AL,31.996664,-87.27981,36726,13 Camden Bypass,Family Dollar
Center Point,AL,33.63976198,-86.6843502,35215,2020 Center Point Parkway,Family Dollar
Chickasaw,AL,30.757821,-88.07601,36611-2213,424 S Craft Highway,Family Dollar
Childersburg,AL,33.278249,-86.356389,35044-1637,913 1st Street Sw,Family Dollar
Citronelle,AL,31.098971,-88.238944,36522-2029,19535 N 3rd St,Family Dollar
